Job_title,Company,Location,Salary,Posted,Job_description
Reliability Maintenance Engineering Technician,Amazon,UK,Competitive,Recently,"Amazon Operations sits at the heart of the Amazon customer experience. We look after everything from the moment a customer clicks buy, to the moment their item is delivered from desktop to doorstep. Across Europe we have more than 50 Fulfillment Centers, hundreds of Delivery Stations, thousands of machines, and tens of thousands of employees, all working together in harmony to make sure the right item gets delivered to the right person, in the right place, at the right time. Working in Amazon Operations is for people who like to be active and give their all. We work in a busy, dynamic environment and are part of a bigger team delivering on the expectations of millions of customers every single day. We are open, inclusive and welcome individuality and diversity."
Reliability Maintenance Engineering Technician,Amazon,UK,Competitive,Recently,"Amazon Operations sits at the heart of the Amazon customer experience. We look after everything from the moment a customer clicks buy, to the moment their item is delivered from desktop to doorstep. Across Europe we have more than 50 Fulfillment Centers, hundreds of Delivery Stations, thousands of machines, and tens of thousands of employees, all working together in harmony to make sure the right item gets delivered to the right person, in the right place, at the right time. Working in Amazon Operations is for people who like to be active and give their all. We work in a busy, dynamic environment and are part of a bigger team delivering on the expectations of millions of customers every single day. We are open, inclusive and welcome individuality and diversity."
Senior Reliability Maintenance Engineering Technician,Amazon,UK,Competitive,Recently,"Amazon Operations sits at the heart of the Amazon customer experience. We look after everything from the moment a customer clicks buy, to the moment their item is delivered from desktop to doorstep. Across Europe we have more than 50 Fulfillment Centers, hundreds of Delivery Stations, thousands of machines, and tens of thousands of employees, all working together in harmony to make sure the right item gets delivered to the right person, in the right place, at the right time. Working in Amazon Operations is for people who like to be active and give their all. We work in a busy, dynamic environment and are part of a bigger team delivering on the expectations of millions of customers every single day. We are open, inclusive and welcome individuality and diversity."
Finance Data Manager,N Brown Group,"Ancoats, M60 6ES",Competitive,Posted 14 days ago,"Here at N Brown, were looking for an experienced Finance Data Manager to join our Finance team About the Role As the company looks to improve the accuracy of our forecasts, this role has been created to work between the developers, Brand Planning Managers, Commercial and Central Finance. The role will play a pivotal part integrating the tools into the group, providing 360 feedbacks, ensuring the inputs and outputs are projecting the most accurate forecast by brand. You will work alongside data science to produce a Sessions forecast as our brands move fully online, linking with key areas (Media, B&M, FS and Logistics and Finance) via the Retail Forecast. The outputs will enable agile trading and lead to improved ROI and by pulling together KPI level detail on trade (from multiple sources) will provide interpretation to the trading teams. About You"
Product Engineering Software Graduate - Manchester,Jaguar Land Rover,"Knott Mill, M1 4ET",To define,Recently,"Company description:A leading premium automotive business and leading to move towards electric autonomous vehicles. Job description:We are the future of modern luxuryWe are the pioneers creating the next-generation of outstanding vehicles,?founded on modern luxury. Each and every one of us are shaping the?exceptional with soul. We are reimagining the driving of tomorrow?and redefining what's possible. We are the future of movement. We can't wait to see what you can do with us. Software EngineeringAutomobiles are becoming more and more reliant on software every year and modern Jaguar Land Rover vehicles feature the most advanced technology in the industry. Before drivers get in our cars, software identifies their key fob and unlocks the vehicle."
Engineer - Frontend - Customer and Data,Sainsbury's,"M4, Manchester, M4 3AL",Competitive plus benefits,Recently,"Job Description We're a multi-channel, multi-brand business serving millions of customers a day, with the UK's largest loyalty scheme and an ever-evolving set of digital platforms. All of this equals over 1.2 billion transactions each year, presenting a volume, depth and complexity of data that few can match. We don't think we're exaggerating when we say we have the most exciting data set in the country. And from the insights gained, we build scalable, high-performance products using cutting-edge technology that give our customers an amazing shopping experience - like our award-winning Smartshop app. In an inclusive, agile environment, you'll have the space to be curious, to experiment, and to solve real-world challenges. And you'll get to see your creations in the hands of millions of people across the UK."
Technical Lead - Software Engineering,ARM,"Manchester, Greater Manchester",Competitive,Recently,"We make debug tools that help Arm's partners build extraordinary software on their embedded devices which power mobile, games, Android, Linux, Machine Learning, and enterprise applications! We are looking for skilled and hardworking software engineers who are passionate about producing quality software to join our engineering teams. In this role, you will work in our Agile team on the development of our Java and C++ based tools. Working with a team of engineers, you will be involved in the full software development lifecycle, from working with our Product Managers to clarify requirements through to design, development and deployment of new features! * You will implement new features for our suite of debug tools, such as Arm Development Studio ( and develop firmware for our DSTREAM family ( of high performance debug and trace probes."
Graduate Data Analyst,Grayce,"Baring Street Ind Est, M1 2EH",Unspecified,Recently,"Are you looking to kickstart your career? Join our team of Data changemakers across the UK! As an Analyst within our Data+ programme you will embark on our development programme. Our dynamic Data+ programme is designed for Graduates with a passion for all things Data! Whether you are looking to specialise in Data Science, Data Engineering, Architecture or BI & Analytics, the Data+ development programme will support you in meeting and exceeding your career goals. Building your skill stack You will begin with a 3-week data bootcamp, where you will join other graduates and work together to build your foundations in the data space. With accredited qualifications and training provided by our talented Grayce data coaches, you will have every opportunity to improve and develop your skills."
Manufacturing Engineering and Industrialisation Manager,Glen Callum Associates Ltd,"Mill Business Park, WN1 1BJ",Bonus + Pension + Life Assurance + Health,Posted 21 days ago,"We are looking to hire an experienced, performance driven Manufacturing Engineering Manager to plan, coordinate and control all manufacturing engineering and Product Industrialisation activities with a focus on achieving budget and production targets. This is a fantastic opportunity to work for a Global player within the industrial, MRO and automotive industries. If you have a proven manufacturing engineering leadership background combined with a knowledge of Product Industrialisation and plant set-up, you can expect to thrive in a forward thinking, leading brand and in return you will receive a competitive salary and benefits package including several bonuses, Bupa, Westfield Health, an enhanced pension and life assurance."
Engineering Technician,RPS Group,"Manchester, Greater Manchester",Competitive Salary + Benefits,Recently,"Our Design business continues to grow and we are now looking to reinforce our civil engineering consulting business with a number of Civil Engineering Technicians. This is an exciting and unrivalled opportunity to develop and progress in an environment where your efforts and talent are recognised... We can offer the right individual the opportunity to work on a diverse range of projects with Blue-Chip Developers through a friendly and vibrant team and a class leading mentorship programme and benefits. We're RPS, our projects are all around you. We define, design and manage projects that create shared value to a complex, urbanising and resource-scarce world. Our people are our success. We need people who share our passion on solving the problems that matter. Here you'll find work that is challenging and rewarding, and you'll be supported every step of the way."
Senior Engineering Technician,RPS Group,"Manchester, Greater Manchester",Competitive Salary + Benefits,Recently,"As we continue to build our business and deliver for our clients, RPS is now seeking an experienced Senior Engineering Technician to join our progressive Design business. This is a hybrid role with occasional visits to our Newark office. We are looking for a Senior Engineering Technician to join the busy and vibrant team producing design models/drawings/design analysis in accordance with project requirements. Working across various projects, this is an exciting opportunity for a motivated and ambitious employee to work on high-profile projects and help us solve problems that matter. We're RPS, our projects are all around you. We define, design and manage projects that create shared value to a complex, urbanising and resource-scarce world. Our people are our success. We need people who share our passion on solving the problems that matter."
Electronic Engineering Technician,Gold Group Limited,"Bolton, Greater Manchester",£20 - £23 per hour + INSIDE IR35,Recently,"Bolton Brief * Production Design Support * To work as an engineering team member carrying out a range of technical activities under guidance in line with all relevant process, quality and other requirements. * Inspection and verification of engineering work and manufactured equipment against defined standards and specifications * Carry out a range of tests and technical investigations across a range of products to ensure they meet agreed specifications. * Compile associated test and verification reports. * Provide data for problem assessment and design of improvements * Provide support in resolving problems and issues and, where appropriate, capture non compliances using established standards and tools * Carry out a range of standard activities, including production of documentation to support the in-service use of products in assigned areas"
"Data Platform Architect, Data Architect, Remote",Corriculo Ltd,"Manchester, Greater Manchester",£60k - 80k per year + Remote Working,Posted 21 days ago,"We’re looking for a Data Platform Architect / Data Architect to join a ground-breaking Oxfordshire based Scientific R&D company! It’s an amazing position for a Data Platform Engineer / Data Architect looking for a company that will improve the lives of millions, through the power of technology. The Role The Platform Data Architect will work to establish a new team and function, defining and implementing data infrastructure, ensuring best practices and standardising process. As the Platform Architect, you will select, manage and oversee the implementation of various solutions, working with external vendors. The Company This University spin out has gone from strength to strength, opening offices across the globe and rapidly expanding, attracting exceptional talent."
CAD Data Analysis,AKKA Development UK Limited,"CW1, Crewe",Unspecified,Recently,"* Hybrid Working (Crewe) * Flexi-time (40hr week) * Private Healthcare & Pension * 28 holiday + Bank Holidays The role As part of AKKA UKs established Automotive division, you will be integral to the expansion of our existing expert and dynamic teams. We are looking for an enthusiastic experiencedCAD Data Analysis Support who can work autonomously but also as part of a larger team interacting with stakeholders and owning issues. AKKA Automotive has a wide breadth of work locations across the UK, with a variety of on-site, customer-based projects as well as deliverable-based work carried out in our Bristol and Crewe offices, giving you the opportunity to be flexible and get involved with a wide variety of projects, customers, approaches, and company-wide development opportunities. What you will need"
Software Engineering Contract - Paying £550-£600 p/d Inside,Oliver Bernard Ltd,"Salford, Greater Manchester",£550 - £600 per day,Posted 23 days ago,"I'm working a contract role for a household UK media company. They are looking for a Software Engineer to join their team. Please see the details below. The role requires for you to work primarily on the Back-end to move and manipulate data from the content team's systems and platforms. They are looking for a candidate who has experience working with Java OR Python, and has strong experience working with Kubernetes and AWS. * Hybrid - twice a week in Glasgow or Salford * Paying £550-£600 p/d inside IR35 * Experience working in an Agile environment * Experience with pair programming (must be comfortable to do this for this role) * Desireable to have worked with Clojure If this sounds of interest, please get in touch."
Graduate Structural Engineer,Bennett and Game Recruitment LTD,"HX1, Halifax",£18000 - £25000 per annum,Today,"The Graduate Structural Engineer will have be working for a leading Structural Steelwork fabricators that are experts in Structural Steel across a range of projects within the Commercial, Education, Retail, Energy, Health, Residential, Industry & Infrastructure, Stadia & Leisure, and Defence sectors. The ideal candidate will ideally have previously worked as a Structural Engineer within Structural Steel for 6 months. The Structural Design Engineer will have a degree within civil or Structural Engineering with ideally a Masters within a Structural Engineering discipline. * Work on actual design work and will be supervised via experienced design engineers. * Designs will be carried out by both hand and also using numerous computer software programmes."
Quality Engineers,Morson Talent,"Bolton, Greater Manchester, BL5 1EE",£33.71 - 33.71 per hour + Umbrella,Today,"Our leading defence client is looking for Quality Engineers to work on thier site in Bolton to provide guidance and support to the Non-Conformance management process, ensuring that relevant fault analysis is conducted during manufacturing and that adequate and appropriate corrective actions are implemented • The Quality Engineer will work closely with the manufacturing teams and where relevant with Manufacturing Engineering, Design and Procurement Departments to facilitate the Non-conformance Management Process within specific project teams and provide guidance on Quality Engineering Issues. • Provide advice and help in the use of the SAP Quality Module. Identification of SAP improvements with respect to the Quality Module. • Compilation and processing of defect data. • Presentation of defect data as a diagnostic aid. • Presentation of defect data for trend analysis."
Data Cabling Engineer,TJ Search & Selection,"M17, Manchester",£19 per hour,Recently,TJ Search & Selection Recruitment currently require 2 x Data Cabling Engineers on a big project in Trafford Park. Our clients require Data Cabling Engineers who work and present themselves to the highest standards. Must have a DBS Check Start Date: 19/09/2022 Please Contact Mark
Cloud Managed Services - Senior Engineer,Daisy,"WF17, Batley",Unspecified,Today,"Location: Home based Company Description Would you like to join one of the largest providers of communications and IT solutions across the UK as aCloud Managed Services - Senior Engineer? Your key objectives will beto ensure that customers cloud services are running optimally and securely, taking responsibility for 3rd/4th line incident and operational problem ownership across customer platforms ensuring delivery to the highest standards. Since being founded in 2001, Daisy delivers solutions and services serving more 2,000 UK businesses across all sectors with a portfolio spanning Modern Workplace, Connectivity, Unified Communications, Cloud, Cyber Security and Operational Resilience. Job Description About the role The CMS team is a pool of subject matter experts across multiple technical disciplines with a focus on private, hybrid and public cloud solutions."
Civil Design Engineer,The Resourcing Hub,"M15, Manchester","From £35,000 to £45,000 per annum",Posted 31 days ago,"The Resourcing Hub are looking for an innovative Civil Engineering Designer, be it in sustainable urban drainage systems (SUDs) or flood risk. Should be able to draft both 2D and 3D designs of piping systems, utilities, roadways, and other infrastructure systems. Should have the ability to work in a fast-growing dynamic industry, and contribute towards healthy economies and make a lasting positive impact to society. Responsibilities Design new engineering products and processes Craft models and drawings of products using CAD Analyze prototype data and retest if needed Research new product ideas and methods Improve existing products and processes Ensure compliance with the industrys safety standards Maintain accurate records Ensure products are user- and environment-friendly Write detailed reports Find creative design solutions to problems Requirements and skills"
Quality Engineer,Mercury Hampton Ltd,"BB18, Barnoldswick","From £35,000 to £45,000 per annum",Yesterday,"* Role:Quality Engineer * Location:Earby, Skipton, Lancashire, Nelson * Company:High Precision components into some of the worlds largest Aerospace businesses * Salary:£35,000 - £45,000 + a great benefits package Mercury Hampton is exclusively retained on this vacancy. This is a fantastic opportunity with a high precision component manufacturing business that specialise is complex machined components into some of the worlds biggest Aerospace businesses. Recent investment and the development of market leading products has created the need to appoint an experienced Quality Engineer in their site based in the Lancashire/ west riding of Yorkshire area. With a worldwide footprint, operating multiple manufacturing facilities this client is known around the world as a leader and innovator in design, engineering and manufacturing."
Software Design Engineer,Sopra Steria Limited,UK,"£70,000 per annum",Today,"We are looking for an experienced AWS DevOps Engineer/Service Developer to join our Defence Sector newly established Cloud Team. You will work within a growing cloud team looking to build on and maintain cloud infrastructure and Cloud Native Software. You should be capable of building and assembling software solutions using the current AWS full stack services. You will work closely within agile based team including Data and Business Intelligence, Customization and UI, Business Analysts * Manage AWS Console Access and Administration * Build and manage VPC Environments that cover Sandbox, DEV, Test, Production, Training, Support. * Select and develop AWS Services that meet client requirements. In conjunction with the wider Agile team plan CI/CD piplines * Ensure the smooth operation of the AWS infrastructure"
Site Engineer,SSA Recruitment Ltd.,"Brunswick Hill, Sk10 1AF",Unspecified,Yesterday,"The right candidate will be a Site Engineer with a track record of working on schemes over £10Million in value from inception to completion with experience in Earthworks or Earthmoving and Surveying. Must have earthworks experience Setting out, levelling and site surveying using total stations and GPS. Discussing specific project requirements with project team. Checking plans, drawings and quantities for accuracy of calculations. Ensuring that all materials used, and work performed are as per specifications. Overseeing quality control and health and safety matters on site. Utilizing data from a range of sources, such as aerial photography, satellite images. Using computer-aided design (CAD) to interpret and visualize data. Producing detailed information (subsequently analysed by other professionals). Day-to-day management of site."
Engineering Quality Inspector,The Recruitment Co.,"Burnley, Lancashire, bb12 1bd",Up to £27920.00 per annum + + Shift allowance + Overtime,Recently,"Job Title: Quality Inspector Department: Inspection Reporting to: Works Manager The Role You will be expected to achieve high standards of quality, in line with targeted levels of output whilst working safely and maintaining full product traceability. You will be working as part of a team and you Skills and Abilities * Ability to use own initiative to work as an individual or as part of a team unsupervised. * Ability to operate computer equipment for data purposes. * Ability to read engineering drawings and engineering quality plans. * Ability to use inspection equipment - micrometers, verniers etc. * A methodical approach to systems and understanding of the importance of standards and established/agreed systems of work. * Able to make decisions based on experience, have confidence to act and make changes within given boundaries."
Test Engineer - Certification (iPlayer & Sounds),BBC,"Salford, Greater Manchester",Competitive Salary + Benefits,Yesterday,"Job Introduction Renowned and loved throughout the UK and the world, the BBC has become a household name that delivers online content to more than 25 million people globally, and we are proud to say that we help make that magic happen! In TV Platforms, we work closely with all UK platform and major global TV device partners to ensure that our audiences have a high-quality iPlayer, Sounds, and Red Button products available to them, on the widest range of certified TV devices. Streaming of video content and the number of supporting devices is growing exponentially. Our challenge is to integrate and innovate with the rapidly expanding and evolving industry, whilst ensuring high availability and the quality of our products. We are a highly collaborative team of engineers, testers, UX designers, and product owners."
Instrumentation & Controls Engineer,Engineering Specialists,"Northwich, Cheshire",Negotiable,Posted 2 days ago,"Role: Instrumentation & Controls Engineer - Waste to Energy Position: Contract Location: Cheshire & UK Wide Rate: Competitive - Inside IR35 Rullion is seeking an Instrumentation & Controls (I&C) professional to assist in the technical design documentation and field commissioning for a Waste to Energy Power Plant. Our client is engaged in a variety of engineering, design and commissioning activities in support of the addition of a Waste to Energy Power Plant in the United Kingdom. This work entails studies, design, equipment layout and commissioning of a Waste to Energy Power Plant and the Balance of Plant systems required for support. Instrumentation and controls will be integrated into the client's existing team based on expertise and experience."
Infrastructure Support Engineer,National Nuclear Laboratory,"WA3, Warrington, WA3 6AE","Salary starting at £33,570",Recently,"Job Introduction There's never been a more exciting time to be part of the nuclear sector. New opportunities are being created all the time. At NNL, you'll be in the ideal place to capitalise on this momentum, face new challenges and develop a long, successful and meaningful career. We're an organisation that's here to experiment and push the limits of what's possible. So, if you're keen to excel in your chosen field, this is the place to do it. Because at NNL, anything is possible. The role of the Infrastructure Support Engineer is to support the day to day running of NNL infrastructure including Server Patching, Monitoring and providing 3rd line support to field engineers via service management process. They will also maintain the security of the technical components and remediate any problems where needed both in and out of standard business hours."
AWS Engineer - Hybrid/Manchester,Essential Consulting Group Limited,"M1, Manchester","From £75,000 to £85,000 per annum Excellent Benefits + Bonus",Posted 2 days ago,"AWS Engineer - AWS, Serverless Architecture, Cloud Native, IaC, Terraform, Git, APIs, Microservices, Kubernetes, Docker, Ansible - Hybrid (Manchester) - £75-85k + bonus + bens An experienced AWS Engineer is urgently required to join a team responsible for the global integration of a full suite of end-user devices into a larger, AWS-based corporate domain. You will work collaboratively with technical specialists in the UK and abroad to design and implement a solution for the full integration - Design, build, and operate my clients AWS infrastructure, adhering to the AWS Well-Architected Framework as appropriate - Maintain IaC codebase and ensure platform services are safe, performant and operable - Support development teams through mentoring in IaC and best use of AWS services - Interact closely with architects, development, and service teams to deliver together"
